gross_yield,net_yield,perf_fee,steth_yield,morpho_yield,borrow_cost,leverage_net,fixed_obligation,fixed_payout,variable_payout,fixed_apr,variable_apr,reserve,tvl,fixed_tvl,variable_tvl,steth_collateral,eth_debt,ltv,leverage_mult,n_loops,steth_eth_peg,min_peg_epoch,deleverage_count,emergency_count,fixed_shortfall,eth_price,avg_steth_apr,avg_borrow_apr,spread,epoch_start,epoch_end
14342.307434151626,12908.076690736463,1434.2307434151626,21502.846934499965,485.9190271707587,7646.4585275190975,7886.158102401881,4024.6406570841887,4024.6406570841887,8625.274499837546,0.03,0.150018167193603,258.1615338147293,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.7230818663805317,3.601677965087533,4,0.9991899497646546,0.9991899497646546,0,0,0,2171.12,0.031151808839249638,0.015332469719550882,0.015819339119698756,2025-02-26 00:00:00+00:00,2025-03-04 00:00:00+00:00
11559.05852400435,10403.152671603915,1155.905852400435,22827.49121273362,728.5074012541539,11996.940089983427,4492.535499474217,4024.6406570841887,4024.6406570841887,6170.448961087648,0.03,0.10732173728748871,466.2245872468076,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.7221399621013521,3.601677965087533,4,1.000493216913391,0.9993222385854252,0,0,0,1922.99,0.03307086009145073,0.024055936482874945,0.009014923608575785,2025-03-05 00:00:00+00:00,2025-03-11 00:00:00+00:00
11970.083780500292,10773.075402450262,1197.0083780500293,19199.059696710025,570.0327770399343,7799.008693249666,6069.463459872623,4024.6406570841887,4024.6406570841887,6532.973237317068,0.03,0.1136270702347647,681.6860952958128,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.7217342347799127,3.601677965087533,4,1.0010556503043198,1.0,0,0,0,1931.43,0.02781424428993457,0.015638359143832544,0.012175885146102027,2025-03-12 00:00:00+00:00,2025-03-18 00:00:00+00:00
11701.924831945405,10531.732348750866,1170.1924831945405,18263.075171850625,525.3844655762941,7086.534805481514,6105.827396225272,4024.6406570841887,4024.6406570841887,6296.4570446916605,0.03,0.1095133778844585,892.3207422708301,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.7221267427658232,3.601677965087533,4,1.0005115320577358,1.0,0,0,0,2066.74,0.026458255890643396,0.014209725970598006,0.01224852992004539,2025-03-19 00:00:00+00:00,2025-03-25 00:00:00+00:00
11934.420183601229,10740.978165241106,1193.442018360123,17948.350928612,520.0527687003824,6533.98351371115,6431.037116469853,4024.6406570841887,4024.6406570841887,6501.517944852096,0.03,0.11307997282653466,1107.1403055756523,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.7223482779954458,3.601677965087533,4,1.0002046876189152,0.9999050826772897,0,0,0,1905.18,0.026002305592884585,0.013101765217384249,0.012900540375500336,2025-03-26 00:00:00+00:00,2025-04-01 00:00:00+00:00
9207.654705435149,8286.889234891634,920.7654705435149,17785.240594483705,584.6672049907379,9162.253094039295,3684.9445196773977,4024.6406570841887,4024.6406570841887,4096.510793109614,0.03,0.07125002700872791,1272.878090273485,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.7215635885087245,3.601677965087533,4,1.0012923950856487,1.0,0,0,0,1472.25,0.025766002838930723,0.018371899569145738,0.007394103269784985,2025-04-02 00:00:00+00:00,2025-04-08 00:00:00+00:00
5981.706620666715,5383.535958600043,598.1706620666715,17488.990731212347,762.0898689327305,12269.373979478361,363.8270612786073,4024.6406570841887,4024.6406570841887,1251.2245823438539,0.03,0.02176237041433774,1380.5488094454859,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.7221307907594103,3.601677965087533,4,1.0005059235664244,1.0,0,0,0,1588.6,0.02533681692055467,0.02460221347453423,0.0007346034460204397,2025-04-09 00:00:00+00:00,2025-04-15 00:00:00+00:00
11581.088530177025,10422.979677159323,1158.1088530177026,17497.44061329859,470.56881187844937,6386.920895000015,6252.383931893434,4024.6406570841887,4024.6406570841887,6189.879426531948,0.03,0.10765968859718066,1589.0084029886723,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.7216198717984736,3.601677965087533,4,1.0012142985251204,0.9998976844023244,0,0,0,1757.39,0.025349058514063966,0.012806879272452831,0.012542179241611134,2025-04-16 00:00:00+00:00,2025-04-22 00:00:00+00:00
11779.593549210258,10601.634194289232,1177.9593549210258,18974.276413928685,566.9974972407693,7761.6803619591965,5944.419219433727,4024.6406570841887,4024.6406570841887,6364.960853319259,0.03,0.11070485484165996,1801.041086874457,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.72209296734394,3.601677965087533,4,1.0005583303241952,1.0,0,0,0,1798.05,0.02748859411548124,0.015563509393829621,0.01192508472165162,2025-04-23 00:00:00+00:00,2025-04-29 00:00:00+00:00
14310.80339250228,12879.723053252052,1431.080339250228,19271.04443909888,360.63251706389894,5320.873563660501,8599.59688578672,4024.6406570841887,4024.6406570841887,8597.487935102823,0.03,0.14953487944268123,2058.635547939498,10000000,7000000.0,3000000.0000000005,36016779.65087533,26021984.04768487,0.7213399201344335,3.601677965087533,4,1.0016028692961387,1.0,0,0,0,1817.04,0.027918530710289567,0.010669270290654783,0.017249260419634784,2025-04-30 00:00:00+00:00,2025-05-06 00:00:00+00:00
