fixed_rate,max_loops,fixed_ratio,n_epochs,total_apr,avg_fixed_apr,avg_variable_apr,fixed_hit_pct,shortfall_epochs,var_positive_pct,min_var_apr,max_var_apr,max_ltv,avg_leverage,avg_spread,deleverage,emergency,reserve_final,tvl_growth
0.03,0,0.3,55,3.308189215326122,3.0000000000000004,2.882604125596627,100.0,0,100.0,2.217642552427261,3.63529865731738,0.0,1.0,1.4912264793575374,0,0,6276.728613883646,0.0
0.03,0,0.5,55,3.308189215326122,3.0000000000000004,2.8356457758352787,100.0,0,100.0,1.9046995733981646,3.889418120244331,0.0,1.0,1.4912264793575374,0,0,6276.728613883646,0.0
0.03,0,0.7,55,3.308189215326122,3.0000000000000004,2.726076293058798,100.0,0,100.0,1.1744992889969412,4.482363533740552,0.0,1.0,1.4912264793575374,0,0,6276.728613883646,0.0
0.03,1,0.3,55,4.511865693842114,3.0000000000000004,4.399236488526778,100.0,0,100.0,2.4819872793332602,5.887449960150332,0.45003860666947887,1.8073385,1.4912264793575374,0,0,8560.500823634726,0.0
0.03,1,0.5,55,4.511865693842114,3.0000000000000004,4.95893108393749,100.0,0,100.0,2.274782191066564,7.042429944210464,0.45003860666947887,1.8073385,1.4912264793575374,0,0,8560.500823634726,0.0
0.03,1,0.7,55,4.511865693842114,3.0000000000000004,6.264885139895815,100.0,0,100.0,1.7913036517776069,9.737383240350773,0.45003860666947887,1.8073385,1.4912264793575374,0,0,8560.500823634726,0.0
0.03,2,0.3,55,5.543823880418299,3.0000000000000004,5.699503803612769,100.0,0,100.0,2.5456246430136056,7.818305979894176,0.6044035950118521,2.4995008785822495,1.4912264793575374,0,0,10518.466664284408,0.0
0.03,2,0.5,55,5.543823880418299,3.0000000000000004,6.779305325057877,100.0,0,100.0,2.3638745002190475,9.745628371851847,0.6044035950118521,2.4995008785822495,1.4912264793575374,0,0,10518.466664284408,0.0
0.03,2,0.7,55,5.543823880418299,3.0000000000000004,9.298842208429797,100.0,0,100.0,1.9397908336984127,14.242713953086412,0.6044035950118521,2.4995008785822495,1.4912264793575374,0,0,10518.466664284408,0.0
0.03,3,0.3,55,6.428561364160243,3.0000000000000004,6.81427303312762,100.0,0,100.0,2.600183404935274,9.473703183577339,0.6817378984850699,3.0929183339923902,1.4912264793575374,0,0,12197.106161158243,0.0
