fixed_rate,max_loops,fixed_ratio,reserve_pct,n_epochs,total_apr,avg_fixed_apr,avg_var_apr,min_var_apr,max_var_apr,fixed_hit,shortfalls,var_positive,max_ltv,avg_leverage,avg_spread,delev,emerg,reserve_final,tvl_growth,protocol_fees,total_gas,gas_pct_of_yield
0.03,0,0.5,0.03,55,5.0831803642828,3.0000000000000004,5.875232916037771,3.249514685622603,8.490826283654599,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,14466.710441264806,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.5,0.05,55,5.0831803642828,3.0000000000000004,5.692238422923589,3.1206587127231686,8.253902030383369,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,24111.184068774674,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.5,0.1,55,5.0831803642828,3.0000000000000004,5.2347521901381375,2.79851878047458,7.661591397205296,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,48222.36813754935,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.7,0.03,55,5.0831803642828,3.0000000000000004,7.792054860062951,3.415857809371005,12.151377139424326,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,14466.710441264806,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.7,0.05,55,5.0831803642828,3.0000000000000004,7.487064038205982,3.2010978545386135,11.756503383972278,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,24111.184068774674,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.7,0.1,55,5.0831803642828,3.0000000000000004,6.724586983563562,2.6641979674576333,10.769318995342157,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,48222.36813754935,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.8,0.03,55,5.0831803642828,3.0000000000000004,10.188082290094428,3.6237867140565103,16.7270657091365,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,14466.710441264806,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.8,0.05,55,5.0831803642828,3.0000000000000004,9.730596057308976,3.3016467818079236,16.134755075958427,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,24111.184068774674,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.8,0.1,55,5.0831803642828,3.0000000000000004,8.58688047534535,2.496296951186452,14.653978493013245,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,48222.36813754935,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.9,0.03,55,5.0831803642828,3.0000000000000004,17.376164580188856,4.247573428113015,30.454131418272993,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,14466.710441264806,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.9,0.05,55,5.0831803642828,3.0000000000000004,16.46119211461795,3.6032935636158414,29.269510151916844,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,24111.184068774674,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,0,0.9,0.1,55,5.0831803642828,3.0000000000000004,14.173760950690687,1.9925939023728991,26.307956986026483,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,48222.36813754935,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.03,1,0.5,0.03,55,7.369265984449407,3.0000000000000004,9.866738408848667,5.133012720639203,14.38785924417441,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,20972.900727817003,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.03,1,0.5,0.05,55,7.369265984449407,3.0000000000000004,9.601444833408488,4.965321736708499,14.029346682438854,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,34954.83454636166,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.03,1,0.5,0.1,55,7.369265984449407,3.0000000000000004,8.938210894808043,4.546094276881735,13.133065278099965,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,69909.66909272331,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.03,1,0.7,0.03,55,7.369265984449407,3.0000000000000004,14.444564014747774,6.5550212010653395,21.979765406957345,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,20972.900727817003,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.03,1,0.7,0.05,55,7.369265984449407,3.0000000000000004,14.00240805568081,6.275536227847496,21.38224447073142,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,34954.83454636166,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.03,1,0.7,0.1,55,7.369265984449407,3.0000000000000004,12.897018158013399,5.576823794802892,19.88844213016661,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,69909.66909272331,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.03,1,0.8,0.03,55,7.369265984449407,3.0000000000000004,20.16684602212167,8.332531801598014,31.469648110436033,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,20972.900727817003,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.03,1,0.8,0.05,55,7.369265984449407,3.0000000000000004,19.503612083521222,7.913304341771249,30.573366706097143,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,34954.83454636166,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
