gross,net,perf_fee,weeth_yield,morpho_yield,borrow_cost,fixed_obligation,fixed_pay,variable_pay,fixed_apr,var_apr,reserve,tvl,fixed_tvl,var_tvl,weeth_coll,eth_debt,ltv,leverage,n_loops,peg,min_peg,delev,emerg,shortfall,eth_price,avg_weeth_apr,avg_borrow,spread,gas_cost,epoch_start
28126.00599065233,25313.405391587097,2812.6005990652334,37475.62181659139,244.76298212580411,9570.407505404386,5174.5379876796715,5174.5379876796715,19379.46524215981,0.030000000000000002,1.0111928113855533,759.4021617476129,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7226133295172396,3.6010970639419617,4,0.9998758312320618,0.9990303038958909,0,0,0,2171.12,0.05430079709227907,0.019192685558885838,0.03510811153339323,23.971302660474095,2025-02-26 00:00:00+00:00
14817.252802612966,13335.52752235167,1481.7252802612966,30226.821205312342,362.9379610886792,15741.229563788056,5174.5379876796715,5174.5379876796715,7760.923709001448,0.030000000000000002,0.40495391210182563,1159.467987418163,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7229111613404505,3.6010970639419617,4,0.9994638928671203,0.9991669279771329,0,0,0,1922.99,0.04379755172701635,0.03156777484735289,0.012229776879663458,31.2768,2025-03-05 00:00:00+00:00
17229.166726697254,15506.250054027529,1722.9166726697256,28124.80293916364,288.5790614500668,11160.677491917802,5174.5379876796715,5174.5379876796715,9866.524564727031,0.030000000000000002,0.5148211567523642,1624.655489038989,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7223324430815957,3.6010970639419617,4,1.0002646432825395,0.9992632420860393,0,0,0,1931.43,0.040751804603378995,0.022381844619004245,0.01836995998437475,23.53778199864916,2025-03-12 00:00:00+00:00
16381.249618095495,14743.124656285945,1638.1249618095496,26295.680390242105,257.89536191757736,10149.65131781102,5174.5379876796715,5174.5379876796715,9126.292928917694,0.030000000000000002,0.47619692746959835,2066.949228727567,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7211917099624982,3.6010970639419617,4,1.0018467954214125,0.9997344691693858,0,0,0,2066.74,0.03810147333277341,0.020354312620969966,0.017747160711803444,22.67481625316862,2025-03-19 00:00:00+00:00
22114.484455877442,19903.0360102897,2211.448445587744,31138.383359742817,249.01758527118474,9253.673492100726,5174.5379876796715,5174.5379876796715,14131.406942301335,0.030000000000000002,0.7373566265250806,2664.040309036258,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7216801607991643,3.6010970639419617,4,1.0011687209335494,1.0,0,0,0,1905.18,0.04511837174774821,0.018557500869027195,0.026560870878721013,19.242997035830655,2025-03-26 00:00:00+00:00
23795.02994637428,21415.526951736854,2379.5029946374284,36249.96125587603,304.7743695752606,12737.454103556869,5174.5379876796715,5174.5379876796715,15598.523155505078,0.030000000000000002,0.8139086546497473,3306.5061175883634,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7212901467108285,3.6010970639419617,4,1.0017100702196111,1.0,0,0,0,1472.25,0.05252486003812862,0.02554394379677749,0.026980916241351127,22.25157552013385,2025-04-02 00:00:00+00:00
18980.024959337792,17082.022463404013,1898.0024959337793,33848.26938685565,383.29911019849413,15227.521573430638,5174.5379876796715,5174.5379876796715,11395.023801822219,0.030000000000000002,0.5945760633736524,3818.966791490484,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7205408530057211,3.6010970639419617,4,1.002751753070524,1.0,0,0,0,1588.6,0.04904489689045606,0.030537574626259962,0.0185073222641961,24.021964285714294,2025-04-09 00:00:00+00:00
22270.503361011182,20043.453024910064,2227.0503361011183,31157.393183148975,230.84427051470294,9101.395159153772,5174.5379876796715,5174.5379876796715,14267.61144648309,0.030000000000000002,0.7444635829754214,4420.270382237786,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7209673300228018,3.6010970639419617,4,1.0021585908581552,1.0,0,0,0,1757.39,0.04514591628239502,0.018252118871444352,0.026893797410950666,16.33893349872602,2025-04-16 00:00:00+00:00
22902.75081610133,20612.475734491196,2290.275081610133,34470.46592293994,291.88954552618037,11836.966627317424,5174.5379876796715,5174.5379876796715,14819.563474776787,0.030000000000000002,0.773263651308889,5038.6446542725225,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7203422987823108,3.6010970639419617,4,1.0030281502721612,1.0,0,0,0,1798.05,0.04994643677744665,0.023738088301970318,0.026208348475476335,22.638025047368934,2025-04-23 00:00:00+00:00
28795.58244026441,25916.02419623797,2879.558244026441,35302.25952765119,197.64665929416094,6690.7684781354,5174.5379876796715,5174.5379876796715,19964.005482671157,0.030000000000000002,1.0416932860779489,5816.125380159661,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7192788731121207,3.6010970639419617,4,1.0045110881461843,1.0,0,0,0,1817.04,0.05115167510472863,0.013417800179944575,0.037733874924784055,13.555268545538999,2025-04-30 00:00:00+00:00
22121.747717721526,19909.572945949374,2212.174771772153,34356.21199456653,353.694967588891,12552.506923005325,5174.5379876796715,5174.5379876796715,14137.747769891219,0.030000000000000002,0.7376874818503956,6413.412568538142,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7206973494868032,3.6010970639419617,4,1.002534009629583,1.0,0,0,0,2680.04,0.04978088703922046,0.025173047042451848,0.024607839996768615,35.652321428571426,2025-05-07 00:00:00+00:00
23924.50863289339,21532.057769604053,2392.450863289339,35223.32944010001,304.4094141268037,11568.545752604223,5174.5379876796715,5174.5379876796715,15711.558048836258,0.030000000000000002,0.8198066539053492,7059.374301626264,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7209340926334258,3.6010970639419617,4,1.002204793604899,1.0,0,0,0,2525.67,0.05103730831210893,0.02319979174114964,0.027837516570959293,34.684468729202905,2025-05-14 00:00:00+00:00
30532.770924623634,27479.49383216127,3053.2770924623637,39352.90035910901,245.54227396727725,9039.850068121848,5174.5379876796715,5174.5379876796715,21480.571029516763,0.030000000000000002,1.1208255097901427,7883.759116591103,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7213856166597197,3.6010970639419617,4,1.0015775014422483,1.0,0,0,0,2662.5,0.05702090462569986,0.01812869512180761,0.038892209503892244,25.821640330803152,2025-05-21 00:00:00+00:00
32007.086680985372,28806.378012886835,3200.7086680985376,40351.088219940066,232.07224628176962,8550.665237319536,5174.5379876796715,5174.5379876796715,22767.648684820557,0.030000000000000002,1.18798338316153,8747.950456977707,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7213839977799534,3.6010970639419617,4,1.0015797491127767,1.0,0,0,0,2595.29,0.058467242107603005,0.017147674132631987,0.04131956797497102,25.408547916928455,2025-05-28 00:00:00+00:00
23801.897197356204,21421.707477620585,2380.1897197356207,35537.73455765009,285.0796163375865,11990.64890883347,5174.5379876796715,5174.5379876796715,15604.518265612296,0.030000000000000002,0.814221470930699,9390.601681306325,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.720719416104242,3.6010970639419617,4,1.0025033145574571,1.0,0,0,0,2816.82,0.0514928697588653,0.024046285805936995,0.027446583952928306,30.268067798000278,2025-06-04 00:00:00+00:00
33469.39837964084,30122.45854167676,3346.9398379640843,44477.30385888912,293.10931203702637,11269.759300479614,5174.5379876796715,5174.5379876796715,24044.246797746782,0.030000000000000002,1.2545944489824306,10294.275437556627,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7204184917434867,3.6010970639419617,4,1.002922067924487,1.0,0,0,0,2510.59,0.06444597674384502,0.022600599447441725,0.041845377296403294,31.255490805694624,2025-06-11 00:00:00+00:00
28494.044745619845,25644.640271057862,2849.404474561985,36836.8184224835,254.62371700952994,8573.32009689653,5174.5379876796715,5174.5379876796715,19700.763075246454,0.030000000000000002,1.0279576733191098,11063.614645688363,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7204036553229998,3.6010970639419617,4,1.0029427226968572,1.0,0,0,0,2449.6,0.053375194479063595,0.017193106638614248,0.03618208784044935,24.077296976647265,2025-06-18 00:00:00+00:00
26358.607203238946,23722.746482915052,2635.860720323895,36676.0792508833,265.52775624212615,10555.522109508605,5174.5379876796715,5174.5379876796715,17836.526100747928,0.030000000000000002,0.9306844511854546,11775.297040175816,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.721129398328534,3.6010970639419617,4,1.0019333633951344,1.0,0,0,0,2405.51,0.05314228933383184,0.021168253979077126,0.03197403535475471,27.47769437787166,2025-06-25 00:00:00+00:00
27279.22441248443,24551.301971235986,2727.922441248443,37408.41165162014,273.29032727669323,10373.236419772817,5174.5379876796715,5174.5379876796715,18640.224924419235,0.030000000000000002,0.9726203076634468,12511.836099312895,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7208276659218628,3.6010970639419617,4,1.0023527642857408,1.0,0,0,0,2616.0,0.05420341203624173,0.020802694631368263,0.033400717404873465,29.24114663958566,2025-07-02 00:00:00+00:00
19524.719002157814,17572.247101942034,1952.4719002157815,29106.20290814209,260.26626122728476,9809.879493020511,5174.5379876796715,5174.5379876796715,11870.5417012041,0.030000000000000002,0.6193879080521141,13039.003512371157,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7201815760348911,3.6010970639419617,4,1.003251995820861,1.0,0,0,0,3138.24,0.04217381704770018,0.019672927445752445,0.022500889601947734,31.87067419104852,2025-07-09 00:00:00+00:00
20620.359238640674,18558.323314776608,2062.0359238640676,29376.451882759757,235.18898074453386,8955.282127042623,5174.5379876796715,5174.5379876796715,12827.035627653637,0.030000000000000002,0.669296394714356,13595.753211814455,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7190598074975046,3.6010970639419617,4,1.0048171180989351,1.0,0,0,0,3748.7,0.04256539786807801,0.017959100890780406,0.024606296977297604,35.99949782099383,2025-07-16 00:00:00+00:00
24425.19454988704,21982.675094898335,2442.519454988704,32689.980430330146,228.01479075895344,8457.287964398214,5174.5379876796715,5174.5379876796715,16148.656854371711,0.030000000000000002,0.8426138451513242,14255.233464661405,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7198098244949358,3.6010970639419617,4,1.0037701333367963,1.0,0,0,0,3793.66,0.047366578811830505,0.016960413492318274,0.03040616531951223,35.51270680384218,2025-07-23 00:00:00+00:00
28339.35759963634,25505.421839672705,2833.935759963634,37699.12892427526,246.79727670924737,9568.161149956059,5174.5379876796715,5174.5379876796715,19565.72119680285,0.030000000000000002,1.0209113810188917,15020.396119851586,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7204522885288043,3.6010970639419617,4,1.0028750203373538,1.0,0,0,0,3612.47,0.05462465066734239,0.019188180672991603,0.035436469994350794,38.40745139210963,2025-07-30 00:00:00+00:00
29898.302127184095,26908.471914465685,2989.8302127184097,40932.595373058895,283.845632447065,11267.241173832761,5174.5379876796715,5174.5379876796715,20926.679769352042,0.030000000000000002,1.0919242551079764,15827.650277285557,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7432666449874554,3.6010970639419617,4,0.9720920592671182,0.9713564359772557,0,0,0,4590.01,0.059309824575847325,0.022595549546180652,0.036714275029666676,50.89770448910533,2025-08-06 00:00:00+00:00
24052.21576160869,21646.994185447824,2405.221576160869,35764.75159363954,295.9390382650117,11951.358960979656,5174.5379876796715,5174.5379876796715,15823.046372204717,0.030000000000000002,0.8256239553496821,16477.06010284899,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7396708671096062,3.6010970639419617,4,0.9768177112798906,0.9726284349268683,0,0,0,4075.2,0.05182180909089518,0.023967492963066155,0.027854316127829022,57.115909316206384,2025-08-13 00:00:00+00:00
19450.318658396645,17505.28679255698,1945.0318658396645,33110.856182365416,360.61540847190344,13952.73439672639,5174.5379876796715,5174.5379876796715,11805.5902011006,0.030000000000000002,0.6159988315645708,17002.2187066257,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.736282156949425,3.6010970639419617,4,0.9813134770289531,0.9772298172347297,0,0,0,4601.95,0.04797641229035627,0.027981091067626924,0.019995321222729345,68.41853571428571,2025-08-20 00:00:00+00:00
25202.83731502651,22682.55358352386,2520.2837315026513,36050.76493062117,305.92126455253526,11094.758870261654,5174.5379876796715,5174.5379876796715,16827.53898833847,0.030000000000000002,0.8780369450700897,17682.695314131415,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7339513375036482,3.6010970639419617,4,0.9844298478532664,0.9819050980305661,0,0,0,4327.22,0.05223623189228681,0.022249650104067747,0.02998658178821906,59.09000988553632,2025-08-27 00:00:00+00:00
29041.813816026992,26137.632434424293,2904.1813816026993,36731.880419455134,205.77915497726855,7857.688745775677,5174.5379876796715,5174.5379876796715,20178.96547371189,0.030000000000000002,1.0529095913247528,18466.824287164145,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7311133242330261,3.6010970639419617,4,0.9882511774332392,0.9844607927866913,0,0,0,4310.67,0.05322314317388181,0.015757965293756455,0.03746517788012536,38.15701262973515,2025-09-03 00:00:00+00:00
32492.709839221086,29243.438855298977,3249.270983922109,40049.26140613777,211.17706096834723,7726.744839935367,5174.5379876796715,5174.5379876796715,23191.597701960334,0.030000000000000002,1.2101044372344305,19344.127452823115,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.729786700499369,3.6010970639419617,4,0.9900476440801381,0.9887184917763228,0,0,0,4503.24,0.058029906160156984,0.015495367780617515,0.042534538379539466,40.98378794965802,2025-09-10 00:00:00+00:00
29723.863319448516,26751.476987503665,2972.386331944852,37743.873160018935,222.55247585180024,8202.883134645444,5174.5379876796715,5174.5379876796715,20774.394690198882,0.030000000000000002,1.0839782372278777,20146.671762448226,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7288818384582787,3.6010970639419617,4,0.991276727430457,0.9898332161423646,0,0,0,4165.97,0.0546894834185655,0.01645022498682888,0.03823925843173662,39.67918177677254,2025-09-17 00:00:00+00:00
31608.99329590866,28448.093966317792,3160.899329590866,42031.33225497818,258.4871050841873,10634.627001418332,5174.5379876796715,5174.5379876796715,22420.113159648587,0.030000000000000002,1.1698494759373783,21000.11458143776,10000000,9000000.0,999999.9999999998,36010970.639419615,26018776.27230131,0.7268783934535044,3.6010970639419617,4,0.9940089154082618,0.9911919556682575,0,0,0,4146.64,0.060901853889594126,0.02132689250264425,0.03957496138694988,46.199062735380195,2025-09-24 00:00:00+00:00
