timestamp,open,high,low,close,volume,quote_volume
2025-02-26 00:00:00+00:00,2287.21,2380.0,2251.12,2332.41,60181.4755,139187676.63714
2025-02-27 00:00:00+00:00,2333.38,2379.65,2228.08,2305.61,131386.1741,304894221.689575
2025-02-28 00:00:00+00:00,2305.83,2312.23,2073.69,2236.79,276674.4802,600748190.823524
2025-03-01 00:00:00+00:00,2236.8,2280.59,2142.2,2216.8,83674.3409,185453218.671731
2025-03-02 00:00:00+00:00,2216.81,2550.83,2172.09,2518.74,215044.05730000001,509595992.062977
2025-03-03 00:00:00+00:00,2518.68,2524.01,2096.05,2147.78,212116.2731,480544718.894076
2025-03-04 00:00:00+00:00,2147.71,2221.59,1991.11,2171.12,267296.3715,560005045.728234
2025-03-05 00:00:00+00:00,2171.0,2273.16,2154.8,2241.48,131680.8417,290150044.594262
2025-03-06 00:00:00+00:00,2241.47,2320.13,2176.5,2202.36,108906.1371,244748955.93538
2025-03-07 00:00:00+00:00,2202.34,2258.96,2102.35,2141.07,183413.9567,398255515.381006
2025-03-08 00:00:00+00:00,2140.94,2234.36,2104.44,2203.2,43245.7342,93933231.102242
2025-03-09 00:00:00+00:00,2203.26,2211.66,1989.26,2020.12,113336.2669,234264418.159149
2025-03-10 00:00:00+00:00,2020.24,2152.8,1809.3,1864.62,1814725.5523,3646865633.232077
2025-03-11 00:00:00+00:00,1864.45,1963.16,1753.86,1922.99,1327676.8609,2507323120.616568
2025-03-12 00:00:00+00:00,1922.86,1956.34,1829.2,1907.8,1124039.161,2125880421.060396
2025-03-13 00:00:00+00:00,1907.79,1923.43,1821.15,1863.9,1340899.5822,2513646244.917578
2025-03-14 00:00:00+00:00,1863.94,1946.06,1860.49,1911.54,739698.6263,1411446350.52061
2025-03-15 00:00:00+00:00,1911.54,1957.88,1903.86,1937.39,237349.8737,457779924.071881
2025-03-16 00:00:00+00:00,1937.48,1941.3,1860.24,1887.0,402594.0474,764258452.380239
2025-03-17 00:00:00+00:00,1887.04,1952.64,1879.63,1926.45,578246.7251,1106498312.316761
2025-03-18 00:00:00+00:00,1926.36,1936.04,1872.0,1931.43,612954.9101,1163450885.6857
2025-03-19 00:00:00+00:00,1931.55,2071.11,1927.64,2056.8,1023551.5132,2056118146.128877
2025-03-20 00:00:00+00:00,2056.74,2068.75,1951.11,1982.68,826378.1689,1646228629.158094
2025-03-21 00:00:00+00:00,1982.5,1995.59,1921.8,1965.16,559197.9684,1098818196.467276
2025-03-22 00:00:00+00:00,1965.09,2005.88,1963.58,1980.39,252542.2909,501922014.809325
2025-03-23 00:00:00+00:00,1980.39,2020.62,1976.38,2006.12,274274.0178,548795137.515778
2025-03-24 00:00:00+00:00,2006.38,2104.83,1977.56,2081.63,721422.3632,1490705250.277745
2025-03-25 00:00:00+00:00,2081.52,2098.44,2036.96,2066.74,567955.7044,1173556218.788409
2025-03-26 00:00:00+00:00,2066.74,2079.15,1981.65,2009.84,593852.7594,1206249126.141708
2025-03-27 00:00:00+00:00,2009.89,2037.81,1986.43,2003.31,556110.7677,1120394245.429106
2025-03-28 00:00:00+00:00,2003.29,2015.72,1857.29,1896.18,851563.4702,1623037113.379013
2025-03-29 00:00:00+00:00,1896.17,1912.83,1796.83,1827.79,591421.6308,1094211871.299119
2025-03-30 00:00:00+00:00,1827.7,1848.69,1766.37,1807.79,475324.3508,863426390.593857
